Graph,Algorithm,Nodes,Edges,Terminals,Expected cost,Steiner tree cost,Absolute error,Relative error (%),Runtime (s),Validated
E17,KMB Basic,2500,62500,10,25,29,4,15.999999999999993,2.178964853286743,True
E17,KMB Full,2500,62500,10,25,28,3,12.00000000000001,2.2768402099609375,True
E17,Simple 11/6 Basic,2500,62500,10,25,28,3,12.00000000000001,171.69116353988647,True
E17,Simple 11/6 Basic w/ zeroing contraction,2500,62500,10,25,27,2,8.000000000000007,166.4425392150879,True
E17,Simple 11/6 Full,2500,62500,10,25,27,2,8.000000000000007,163.87196946144104,True
E17,Simple 11/6 Full w/ zeroing contraction,2500,62500,10,25,26,1,4.0000000000000036,162.6183204650879,True
T01,KMB Basic,8,11,4,16,23,7,43.75,0.0003325939178466797,True
T01,KMB Full,8,11,4,16,17,1,6.25,0.00033211708068847656,True
T01,Simple 11/6 Basic,8,11,4,16,16,0,0.0,0.0008533000946044922,True
T01,Simple 11/6 Basic w/ zeroing contraction,8,11,4,16,16,0,0.0,0.0010819435119628906,True
T01,Simple 11/6 Full,8,11,4,16,16,0,0.0,0.0010528564453125,True
T01,Simple 11/6 Full w/ zeroing contraction,8,11,4,16,16,0,0.0,0.0013456344604492188,True
